Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3rfhI32Il2hVRKDkuGeeen,"0TnOYISbd1XYRBk9myaseg,3aQeKQSyrW4qWr35idm0cy","Hey Baby (Drop It to the Floor) (feat. T-Pain)","Planet Pit (Deluxe Version)","Pitbull,T-Pain",2011-06-17,234453,79,spotify:user:kelsey2701,2021-07-10T23:58:12Z,"dance pop,miami hip hop,pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,4
4cG7HUWYHBV6R6tHn1gxrl,"7i9j813KFoSBMldGqlh2Z1,1gALaWbNDnwS2ECV09sn2A,4L2dV3zY7RmkeiNO035Fi0,3Edve4VIATi0OZngclQlkN","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","Riton,Nightcrawlers,Mufasa & Hypeman,Dopamine",2021-01-15,169153,81,spotify:user:kelsey2701,2021-07-10T23:58:20Z,"house,pop dance,uk dance,disco house,hip house,vocal house",0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,4
5zNW5ARjYhJQJz1AChP33n,"181bsRPaVXVlUKXrxwZfHK","Thot Shit","Thot Shit","Megan Thee Stallion",2021-06-11,184634,70,spotify:user:kelsey2701,2021-07-10T23:58:30Z,"houston rap,pop,r&b,rap,trap queen",0.95,0.693,9,-3.424,1,0.0898,0.0133,0,0.173,0.891,130.02,4
03tqyYWC9Um2ZqU0ZN849H,"6f4XkbvYlXMH0QgVRzW0sM,0bfX8pF8kuHNCs57Ms4jZb,67nwj3Y5sZQLl72VNUHEYE","No Hands (feat. Roscoe Dash & Wale)","Flockaveli","Waka Flocka Flame,Roscoe Dash,Wale",2010-10-01,263773,80,spotify:user:kelsey2701,2021-07-10T23:58:38Z,"atl hip hop,dirty south rap,pop rap,rap,southern hip hop,trap,futuristic swag,r&b",0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,4
2Ty7EDf9XLYzEUqEIwJfDC,"37hAfseJWi0G3Scife12Il","Twerkulator","Twerkulator","City Girls",2021-05-21,138541,62,spotify:user:kelsey2701,2021-07-10T23:58:48Z,"scam rap,trap queen",0.895,0.469,1,-5.882,1,0.0661,0.0012,0.0000456,0.192,0.076,126.917,4
0OPyDgTRuIdCJ9B4bYSths,"0TnOYISbd1XYRBk9myaseg","Hotel Room Service","Pitbull Starring In Rebelution","Pitbull",2009-08-27,237600,75,spotify:user:kelsey2701,2021-07-10T23:59:04Z,"dance pop,miami hip hop,pop",0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4
5OiLJ8tjUPFiPX2gVM8fxJ,"1yxSLGMDHlW21z4YXirZDS","Imma Be","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,257560,0,spotify:user:kelsey2701,2021-07-10T23:59:10Z,"dance pop,pop,pop rap",0.597,0.517,0,-6.963,1,0.365,0.179,0,0.307,0.412,92.035,4
3ZFTkvIE7kyPt6Nu3PEa7V,"0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe","Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,88,spotify:user:kelsey2701,2021-07-10T23:59:16Z,"colombian pop,dance pop,latin pop,pop,rap kreyol",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
051wt8AyLFgYnVuberd3vO,"4kYSro6naA4h99UJvo89HB,181bsRPaVXVlUKXrxwZfHK","WAP (feat. Megan Thee Stallion)","WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",2020-08-06,187541,47,spotify:user:kelsey2701,2021-07-10T23:59:48Z,"pop,rap,houston rap,r&b,trap queen",0.934,0.443,1,-7.541,1,0.41,0.0272,0,0.0889,0.359,133.026,4
2idmlkd8oUaQvYEtINpLBX,"3TNt4aUIxgfy9aoaft5Jj2,3TaUSUXn41GixL7zbvrIDt","Heads Will Roll - A-Trak Remix","Heads Will Roll","Yeah Yeah Yeahs,A-Trak",2009,383546,64,spotify:user:kelsey2701,2021-07-10T23:59:54Z,"alternative dance,alternative rock,art pop,dance-punk,garage rock,indie rock,modern rock,neo-synthpop,new rave,canadian electronic,edm,electro house,electronic trap,fidget house,turntablism",0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,4
