Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,target
1Faq8G2y56A8fRv7HsLq25,"7rkW85dBwwrJtlHRDkJDAC,4O15NlyKLIASxsJ0PrXPfz",Wanted You (feat. Lil Uzi Vert),RECKLESS,"NAV,Lil Uzi Vert",2018-05-18,228386,64,spotify:user:kelsey2701,2021-06-02T12:25:31Z,"canadian hip hop,canadian trap,melodic rap,rap,trap,hip hop,philly rap,rage rap",0.797,0.731,9,-4.443,0,0.0479,0.229,0.0,0.224,0.623,146.93,4,1
1WsEgieHsWWndAzLkmV105,6qqNVTkY8uBg9cP3Jd7DAH,hostage,dont smile at me,Billie Eilish,2017-12-22,229425,77,spotify:user:kelsey2701,2021-06-02T12:25:34Z,"art pop,pop",0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,5,1
51pshtuYkgUQnt5huMPbKL,4LLpKhyESsyAXpc4laK94U,The Spins,K.I.D.S.,Mac Miller,2010-08-13,195873,7,spotify:user:kelsey2701,2021-06-02T12:25:43Z,"hip hop,pittsburgh rap,rap",0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007,4,1
03m2VS3eYqKwbHvEykTYl5,"6ASri4ePR7RlsvIQgWPJpS,6Xgp2XMz1fhVYe7i6yNAax",shots in the dark (with Trippie Redd),Still Here,"iann dior,Trippie Redd",2021-04-16,188583,40,spotify:user:kelsey2701,2021-06-02T12:25:59Z,"melodic rap,rap,trap",0.58,0.651,6,-5.537,0,0.0459,0.0275,0.0,0.102,0.562,157.888,4,1
5wujBwqG7INdStqGd4tRMX,4MCBfE4596Uoi2O4DtmEMz,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-12-10,169999,80,spotify:user:kelsey2701,2021-06-02T12:26:03Z,"chicago rap,melodic rap,rap",0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,4,1
4pAl7FkDMNBsjykPXo91B3,5pKCCKE2ajJHZ9KAiaK11H,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,86,spotify:user:kelsey2701,2021-06-02T12:26:16Z,"barbadian pop,pop,urban contemporary",0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,4,1
4JiEyzf0Md7KEFFGWDDdCr,3qm84nBOXUEQ2vnTfUTTFC,Knockin' On Heaven's Door,Use Your Illusion II,Guns N' Roses,1991-09-18,336000,82,spotify:user:kelsey2701,2021-06-02T12:26:37Z,"glam metal,hard rock,rock",0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,4,1
1v3Ozpbcx2B926aVW0UuXk,2kCO8LXN1usaOPL3iEE28I,AOK,AOK,Tai Verdes,2021-05-06,173640,63,spotify:user:kelsey2701,2021-06-02T12:26:45Z,"modern indie pop,singer-songwriter pop",0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,4,1
3AjyOYxBv8bByfBtG5o9dP,5YGY8feqx7naU7z4HrwZM6,See You Again,Meet Miley Cyrus,Miley Cyrus,2007-06-26,190453,74,spotify:user:kelsey2701,2021-06-02T17:15:29Z,pop,0.692,0.911,9,-5.098,0,0.177,0.015,7.71e-05,0.112,0.8,138.975,4,1
4ZtFanR9U6ndgddUvNcjcG,1McMsnEElThX1knmY4oliG,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,87,spotify:user:kelsey2701,2021-06-02T17:15:49Z,pop,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,1
7qEKqBCD2vE5vIBsrUitpD,6qqNVTkY8uBg9cP3Jd7DAH,ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,156370,74,spotify:user:kelsey2701,2021-06-02T17:16:05Z,"art pop,pop",0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,4,1
5QZKcQDp0tCcvMdyqEciBV,"1MXZ0hsGic96dWRDKwAwdr,246dkjvS1zLTtiykXe5h60",Tommy Lee (feat. Post Malone),Tommy Lee (feat. Post Malone),"Tyla Yaweh,Post Malone",2020-06-12,224638,63,spotify:user:kelsey2701,2021-06-02T17:16:15Z,"cali rap,melodic rap,dfw rap,pop,rap",0.457,0.621,10,-5.923,1,0.138,0.218,0.0,0.0944,0.634,85.359,3,1
40mjsnRjCpycdUw3xhS20g,"7A8S43ryYdbWpJKeHRZRcq,0eDvMgVFoNV3TpwtrVCoTj,0Y5tJX1MQlPlqiwlOH1tJY",GATTI,JACKBOYS,"JACKBOYS,Pop Smoke,Travis Scott",2019-12-27,181144,77,spotify:user:kelsey2701,2021-06-02T17:16:19Z,"pop rap,brooklyn drill,rap,hip hop,slap house",0.594,0.676,2,-5.808,1,0.344,0.135,0.0,0.163,0.472,143.477,4,1
63rbP24OzfaQCJjsHWZXnY,"1Cs0zKBU1kc0i8ypK3B9ai,0jnsk9HBra6NMjO2oANoPY,0hCNtLu0JehylgoiP8L4Gh",Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nothing but the Beat 2.0,"David Guetta,Flo Rida,Nicki Minaj",2011-08-24,210093,70,spotify:user:kelsey2701,2021-06-02T17:16:21Z,"big room,dance pop,edm,pop,pop dance,miami hip hop,pop rap,hip pop,queens hip hop,rap",0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873,4,1
7kDUspsoYfLkWnZR7qwHZl,"6TIYQ3jFPwQSRmorSezPxX,2cFrymmkijnjDg9SS92EPM",my ex's best friend (with blackbear),Tickets To My Downfall,"mgk,blackbear",2020-09-25,139460,77,spotify:user:kelsey2701,2021-06-02T17:16:30Z,"ohio hip hop,pop rap,pop",0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,4,1
3On0xk67ckVLs1qEpTF8mY,"6VD4UEUPvtsemqD3mmTqCR,3PtCud9dIdOv4exrzdZZ1C,3NKKngINK1tP6BFy0WOyWk",Bring It Back (feat. Max Styler),Bring It Back (feat. Max Styler),"Deorro,MAKJ,Max Styler",2018-10-19,165000,53,spotify:user:kelsey2701,2021-06-05T15:47:56Z,"dutch house,edm,electro house,melbourne bounce,melbourne bounce international,pop dance,progressive electro house,sky room,brostep,tech house",0.762,0.904,5,-4.064,1,0.0862,0.00167,0.841,0.436,0.518,127.962,4,1
2fpDrL2Vpee0JnM6AoUFvl,69tiO1fG8VWduDl3ji2qhI,Silver Lining,Silver Lining,Mt. Joy,2017-11-02,199827,49,spotify:user:kelsey2701,2021-06-05T15:48:01Z,stomp and holler,0.486,0.638,0,-6.231,1,0.0323,0.000921,0.0,0.078,0.178,144.458,4,1
0RZLmpEzGR2NHite6rvS5H,4yvcSjfu4PC0CYQyLy4wSq,Space Ghost Coast To Coast,Dreamland,Glass Animals,2020-08-07,187383,64,spotify:user:kelsey2701,2021-06-05T15:48:09Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.903,0.529,8,-9.901,1,0.0623,0.105,0.00255,0.138,0.353,100.977,4,1
1yOc6FBOVD6zBwOMxiSEEv,4yvcSjfu4PC0CYQyLy4wSq,Helium,Dreamland,Glass Animals,2020-08-07,328232,58,spotify:user:kelsey2701,2021-06-05T15:48:15Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.289,0.307,4,-16.036,1,0.0452,0.854,0.275,0.255,0.0477,96.516,4,1
5YHMaDiaGGYs5QyJ2CBDXJ,"1gUi2utSbJLNPddYENJAp4,6i1Mxe8dCYvZnlY7pVWuYX",Floors,Where Are My Friends,"Abhi The Nomad,Foster Cazz",2015-10-14,210340,53,spotify:user:kelsey2701,2021-06-05T15:48:19Z,desi hip hop,0.613,0.857,2,-7.003,1,0.0476,0.513,0.00105,0.268,0.32,131.962,4,1
5DOR49R0fehoBmyNL8m4sN,5IcR3N7QB1j6KBL8eImZ8m,Hell Of A Night,Oxymoron (Deluxe),ScHoolboy Q,2014-01-01,272453,61,spotify:user:kelsey2701,2021-06-05T15:48:23Z,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.652,0.836,2,-7.179,0,0.153,0.377,0.0,0.138,0.162,123.946,4,1
