Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2rPE9A1vEgShuZxxzR2tZH,"66CXWjxzNUsdJxJ2JdwvnR","thank u, next","thank u, next","Ariana Grande",2018-11-03,207333,24,spotify:user:sonicaron,2019-03-10T00:05:44Z,"pop",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4
3Du2K5dLzmduCNp6uwuaL0,"6S2OmqARrzebs0tKUEyXyp","Sorry Not Sorry","Tell Me You Love Me","Demi Lovato",2017-09-29,203760,0,spotify:user:sonicaron,2019-03-10T00:05:52Z,"pop,post-teen pop",0.702,0.635,11,-6.917,0,0.265,0.0223,0,0.283,0.873,144.004,4
6wZ8kvKP9d1MKlNFTMZrBK,"3e7awlrlDSwF3iM0WBjGMp","Shout Out to My Ex","Shout Out to My Ex","Little Mix",2016-10-16,246240,0,spotify:user:sonicaron,2019-03-10T00:06:00Z,"girl group,pop,talent show,uk pop",0.774,0.739,0,-4.022,1,0.0952,0.0316,0.00000595,0.119,0.823,126.002,4
1sSNWjLtY4GwyhqAwAnPD9,"6Dd3NScHWwnW6obMFbl1BH","Sit Still, Look Pretty","Daya","Daya",2015-09-04,200717,0,spotify:user:sonicaron,2019-03-10T00:06:05Z,"alt z,pop",0.66,0.767,2,-3.016,1,0.261,0.12,0,0.181,0.554,181.819,4
77W6VUoJdasCQgjc5DW19q,"3e7awlrlDSwF3iM0WBjGMp","Wings","DNA: The Deluxe Edition","Little Mix",2012,219733,0,spotify:user:sonicaron,2019-03-10T00:06:09Z,"girl group,pop,talent show,uk pop",0.738,0.875,7,-3.141,1,0.127,0.000673,0.000556,0.285,0.538,114.962,4
6WjmPTZKeDylStKmGHLcqQ,"6S2OmqARrzebs0tKUEyXyp","Confident","Confident (Deluxe Edition)","Demi Lovato",2015-01-01,205745,0,spotify:user:sonicaron,2019-03-10T00:06:13Z,"pop,post-teen pop",0.607,0.747,3,-6.241,1,0.0667,0.00155,0.000342,0.136,0.336,130.061,4
1EtU16em39vcCVMx2mGpHq,"1l8Fu6IkuTP0U5QetQJ5Xt","BO$$","Reflection (Japan Deluxe Edition)","Fifth Harmony",2014,171413,33,spotify:user:sonicaron,2019-03-10T00:06:31Z,"girl group,pop,talent show",0.813,0.872,9,-5.224,1,0.107,0.00621,0,0.0498,0.736,103.016,4
466s1BacUmiRdR3ISvNjyx,"2gsggkzM5R49q6jpPvazou,66CXWjxzNUsdJxJ2JdwvnR,0hCNtLu0JehylgoiP8L4Gh","Bang Bang","My Everything (Deluxe)","Jessie J,Ariana Grande,Nicki Minaj",2014-08-25,199320,64,spotify:user:sonicaron,2019-03-10T00:07:18Z,"dance pop,pop,hip pop,queens hip hop,rap",0.703,0.747,0,-4.446,0,0.0895,0.283,0,0.396,0.7,149.974,4
33NHr7lu7tCMjK05jUj1v0,"3e7awlrlDSwF3iM0WBjGMp","Black Magic","Black Magic","Little Mix",2015-05-21,211786,0,spotify:user:sonicaron,2019-03-10T00:07:25Z,"girl group,pop,talent show,uk pop",0.777,0.898,4,-4.461,1,0.0581,0.0322,0,0.313,0.866,111.996,4
4Y6IdA3e4wwLrbKHDjufaC,"5p7f24Rk5HkUZsaS3BLG5F","Love Myself","HAIZ","Hailee Steinfeld",2015-11-13,218773,0,spotify:user:sonicaron,2019-03-10T00:07:30Z,"pop",0.616,0.765,0,-6.75,0,0.078,0.0029,0,0.149,0.343,122.916,4
