Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1DOC9RFiw5zDRBm1w5IM6s,"4CTKqs11Zgsv8EZTVzx764,2x7EATekOPhFGRx3syMGEC","We Got U","We Got U","Lemaitre,The Knocks",2016-06-17,210040,42,spotify:user:kelsey2701,2018-05-30T02:34:30Z,"norwegian pop,alternative dance,indie poptimism,nu disco",0.567,0.677,11,-3.904,0,0.0348,0.015,0.0000443,0.134,0.441,126.958,4
00nQoR3Ewp916Ma0Kt2TQx,"1gUi2utSbJLNPddYENJAp4,6i1Mxe8dCYvZnlY7pVWuYX","Hello Stranger","Where Are My Friends?","Abhi The Nomad,Foster Cazz",2015-10-14,139999,0,spotify:user:kelsey2701,2018-05-30T02:36:51Z,"desi hip hop",0.723,0.892,7,-7.172,1,0.11,0.0795,0.0000746,0.279,0.501,120.02,4
4cphk86hK9znFlydBQkkGO,"1btWGBz4Uu1HozTwb2Lm8A","monsoon","monsoon","Hippo Campus",2016-11-21,222820,0,spotify:user:kelsey2701,2018-05-30T03:06:38Z,"minneapolis indie,modern rock,pov: indie",0.29,0.308,5,-11.074,1,0.0442,0.938,0.0294,0.106,0.205,84.88,1
6KZ7duCkaniteGwmqz5ors,"1dWEYMPtNmvSVaDNLgB6NV","Happy Accidents","saintmotelevision","Saint Motel",2016-10-21,183333,51,spotify:user:kelsey2701,2018-05-30T03:14:20Z,"la indie,modern alternative rock,modern rock,pov: indie",0.332,0.311,9,-9.568,1,0.0302,0.871,0,0.136,0.442,90.242,4
6kcHg7XL6SKyPNd78daRBL,"1dWEYMPtNmvSVaDNLgB6NV","Sweet Talk","saintmotelevision","Saint Motel",2016-10-21,192040,67,spotify:user:kelsey2701,2018-05-30T03:48:35Z,"la indie,modern alternative rock,modern rock,pov: indie",0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,4
4iEOVEULZRvmzYSZY2ViKN,"3XHO7cRUPCLOr6jwp8vsx5","Left Hand Free","This Is All Yours","alt-J",2014-09-22,173630,73,spotify:user:kelsey2701,2018-05-30T03:48:41Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,4
1f5PNhkNgUpvDEeZfcIlO1,"4kYSro6naA4h99UJvo89HB,7tYKF4w9nC0nq9CsPZTHyP","I Do (feat. SZA)","Invasion of Privacy","Cardi B,SZA",2018-04-06,200205,67,spotify:user:kelsey2701,2018-05-31T04:19:31Z,"pop,rap,r&b",0.886,0.473,7,-7.338,0,0.255,0.27,0.0000258,0.0864,0.438,135.065,4
2eAZfqOm4EnOF9VvN50Tyc,"4O15NlyKLIASxsJ0PrXPfz,5cIc3SBFuBLVxJz58W2tU9","The Way Life Goes (feat. Oh Wonder)","Luv Is Rage 2","Lil Uzi Vert,Oh Wonder",2017-08-25,221746,82,spotify:user:kelsey2701,2018-05-31T04:20:27Z,"hip hop,melodic rap,philly rap,rage rap,rap,electropop,indie poptimism,pov: indie",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,4
1rdreHH1v6kyrx2mFQvLR4,"0p4nmQO2msCgU4IF37Wi3j","Here's to Never Growing Up","Avril Lavigne","Avril Lavigne",2013-11-06,214320,0,spotify:user:kelsey2701,2018-05-31T04:23:11Z,"canadian pop,candy pop,dance pop,pop",0.487,0.876,0,-3.152,1,0.0946,0.011,0,0.401,0.725,164.997,4
1b91Hfg3v9vxqkAxRZCSEc,"4wYk01oPJNfaEssVFL46oQ","The Way It Was","The Way It Was","Coast Modern",2016-08-19,229666,0,spotify:user:kelsey2701,2018-05-31T17:12:51Z,"indie poptimism,modern alternative rock,modern rock",0.595,0.749,4,-5.992,1,0.0541,0.066,0.0000424,0.0798,0.636,80.033,4
