Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435,0,"thank u, next",Ariana Grande
0.0223,0.702,203760,0.635,0.0,11,0.283,-6.917,0,0.265,144.004,4,0.873,0,Sorry Not Sorry,Demi Lovato
0.0316,0.774,246240,0.739,5.95e-06,0,0.119,-4.022,1,0.0952,126.002,4,0.823,0,Shout Out to My Ex,Little Mix
0.12,0.66,200717,0.767,0.0,2,0.181,-3.016,1,0.261,181.819,4,0.554,0,"Sit Still, Look Pretty",Daya
0.000673,0.738,219733,0.875,0.000556,7,0.285,-3.141,1,0.127,114.962,4,0.538,0,Wings,Little Mix
0.00155,0.607,205745,0.747,0.000342,3,0.136,-6.241,1,0.0667,130.061,4,0.336,0,Confident,Demi Lovato
0.00621,0.813,171413,0.872,0.0,9,0.0498,-5.224,1,0.107,103.016,4,0.736,0,BO$$,Fifth Harmony
0.283,0.703,199320,0.747,0.0,0,0.396,-4.446,0,0.0895,149.974,4,0.7,0,Bang Bang,"Jessie J,Ariana Grande,Nicki Minaj"
0.0322,0.777,211786,0.898,0.0,4,0.313,-4.461,1,0.0581,111.996,4,0.866,0,Black Magic,Little Mix
0.0029,0.616,218773,0.765,0.0,0,0.149,-6.75,0,0.078,122.916,4,0.343,0,Love Myself,Hailee Steinfeld
0.177,0.754,229720,0.854,0.0,5,0.0808,-3.449,0,0.0608,75.002,4,0.8,0,Woman Like Me (feat. Nicki Minaj),"Little Mix,Nicki Minaj"
0.0444,0.64,202946,0.753,0.0,4,0.494,-3.929,1,0.108,101.794,4,0.531,0,Touch (feat. Kid Ink),"Little Mix,Kid Ink"
0.0345,0.586,242293,0.865,5.55e-06,7,0.165,-4.092,1,0.319,172.917,4,0.468,0,Power (feat. Stormzy),"Little Mix,Stormzy"
0.0777,0.709,225200,0.779,7.47e-06,7,0.306,-3.534,0,0.0464,102.024,4,0.701,0,No More Sad Songs (feat. Machine Gun Kelly),"Little Mix,mgk"
0.00857,0.697,209280,0.841,4.41e-05,7,0.661,-4.339,1,0.0397,153.962,4,0.696,0,Hair,Little Mix
0.0992,0.641,236013,0.732,0.0,2,0.285,-5.324,1,0.051,82.027,4,0.352,0,Salute,Little Mix
0.00496,0.732,236093,0.899,4.64e-05,0,0.372,-4.237,1,0.143,127.091,4,0.759,0,Run the World (Girls),Beyoncé
0.0478,0.756,204400,0.572,0.0,9,0.0853,-7.019,1,0.0763,102.986,4,0.417,0,Most Girls,Hailee Steinfeld
0.0348,0.732,218250,0.922,0.0,6,0.146,-1.829,0,0.0975,120.033,4,0.589,0,Just Got Paid,"Sigala,Ella Eyre,Meghan Trainor,French Montana"
0.692,0.622,218640,0.392,0.0,0,0.123,-6.269,1,0.028,120.096,4,0.547,0,Rainbow,Kesha
0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733,0,Pretty Girl - Cheat Codes X CADE Remix,"Maggie Lindemann,Cheat Codes,CADE"
0.0403,0.836,217946,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51,0,IDGAF,Dua Lipa
0.165,0.874,213946,0.67,0.0,11,0.185,-6.064,0,0.126,124.011,4,0.68,0,You Don't Know Me,"Jax Jones,RAYE"
0.0103,0.868,151632,0.55,0.000297,11,0.108,-8.926,0,0.363,151.917,4,0.201,0,Rules,Killumantii
0.809,0.512,144426,0.499,2.22e-05,0,0.284,-6.485,1,0.0519,78.907,4,0.51,0,Almost There - From The Princess and the Frog / Soundtrack Version,Anika Noni Rose
0.193,0.579,190946,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.681,0,High Hopes,Panic! At The Disco
0.297,0.752,201660,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,0,Without Me,Halsey
0.489,0.543,230266,0.39,0.0,10,0.111,-7.202,1,0.0322,73.415,4,0.303,0,Praying,Kesha
